transaction_id,date,time,outlet_id,customer_id,instore,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item
7,2019-04-01,12:04:43,3,558,N,1,1,52,1,2.50,2.50,N
11,2019-04-01,15:54:39,3,781,N,1,1,27,2,7.00,3.50,N
19,2019-04-01,14:34:59,3,788,Y,1,1,46,2,5.00,2.50,N
32,2019-04-01,16:06:04,3,683,N,1,1,23,2,5.00,2.50,N
33,2019-04-01,19:18:37,3,99,Y,1,1,34,1,2.45,2.45,N
39,2019-04-01,18:54:46,3,664,Y,1,1,32,1,3.00,3.00,N
50,2019-04-01,13:03:49,3,316,N,1,1,49,2,6.00,3.00,N
53,2019-04-01,11:21:14,3,38,N,1,1,60,1,3.75,3.75,N
59,2019-04-01,19:30:55,3,370,Y,1,1,51,2,6.00,3.00,N
62,2019-04-01,12:01:00,3,180,Y,1,1,49,2,6.00,3.00,N
81,2019-04-01,13:20:51,3,35,Y,1,1,35,2,6.20,3.10,N
90,2019-04-01,11:40:20,3,595,N,1,1,47,1,3.00,3.00,N
91,2019-04-01,12:27:43,3,500,N,1,1,25,2,4.40,2.20,N
94,2019-04-01,17:37:02,3,128,Y,1,1,23,2,5.00,2.50,N
101,2019-04-01,12:26:34,3,599,Y,1,1,48,2,5.00,2.50,N
103,2019-04-01,14:33:32,3,152,Y,1,1,53,2,6.00,3.00,N
108,2019-04-01,16:11:18,3,65,N,1,1,40,1,3.75,3.75,N
112,2019-04-01,13:03:38,3,90,Y,1,1,37,2,6.00,3.00,N
117,2019-04-01,18:25:04,3,82,Y,1,1,60,1,3.75,3.75,N
120,2019-04-01,15:51:44,3,174,N,1,1,53,2,6.00,3.00,N
127,2019-04-01,13:58:40,3,116,N,1,1,41,2,8.50,4.25,N
134,2019-04-01,11:49:29,3,189,Y,1,1,38,2,7.50,3.75,N
135,2019-04-01,17:01:36,3,131,Y,1,1,40,1,3.75,3.75,N
137,2019-04-01,11:10:04,3,264,Y,1,1,40,1,3.75,3.75,N
138,2019-04-01,13:17:42,3,722,Y,1,1,38,1,3.75,3.75,N
141,2019-04-01,14:07:25,3,302,Y,1,1,50,1,2.50,2.50,N
143,2019-04-01,13:17:00,3,174,Y,1,1,59,2,9.00,4.50,N
150,2019-04-01,12:24:53,3,604,Y,1,1,28,1,2.00,2.00,N
156,2019-04-01,12:30:00,3,32,N,1,1,34,1,2.45,2.45,N
156,2019-04-01,12:30:00,3,32,N,1,5,77,1,3.00,3.00,N
162,2019-04-01,19:07:40,3,470,N,1,1,55,1,4.00,4.00,N
165,2019-04-01,16:44:46,3,127,Y,1,1,54,2,5.00,2.50,N
175,2019-04-01,19:54:12,3,553,Y,1,1,47,1,3.00,3.00,N
180,2019-04-01,17:52:36,3,518,Y,1,1,45,2,6.00,3.00,N
199,2019-04-01,14:24:55,3,112,Y,1,1,41,2,8.50,4.25,N
199,2019-04-01,14:24:55,3,112,Y,1,5,79,1,3.75,3.75,N
202,2019-04-01,17:26:58,3,437,N,1,1,37,2,6.00,3.00,N
212,2019-04-01,17:03:21,3,552,N,1,1,50,1,2.50,2.50,N
219,2019-04-01,15:03:55,3,194,Y,1,1,43,1,3.00,3.00,N
224,2019-04-01,14:54:27,3,788,N,1,1,38,2,7.50,3.75,N
226,2019-04-01,16:30:12,3,533,Y,1,1,40,1,3.75,3.75,N
227,2019-04-01,12:09:11,3,521,N,1,1,28,2,4.00,2.00,N
238,2019-04-01,15:48:10,3,512,Y,1,1,41,1,4.25,4.25,N
247,2019-04-01,19:04:32,3,178,Y,1,1,23,1,2.50,2.50,N
248,2019-04-01,14:30:49,3,416,Y,1,1,32,2,6.00,3.00,N
249,2019-04-01,11:15:38,3,22,Y,1,1,52,1,2.50,2.50,N
260,2019-04-01,18:14:31,3,642,Y,1,1,61,2,9.50,4.75,N
262,2019-04-01,11:52:08,3,189,N,1,1,58,1,3.50,3.50,N
268,2019-04-01,16:04:10,3,223,N,1,1,42,2,5.00,2.50,N
269,2019-04-01,19:25:00,3,40,Y,1,1,53,1,3.00,3.00,N
270,2019-04-01,11:27:00,3,344,N,1,1,49,1,3.00,3.00,N
276,2019-04-01,16:10:37,3,401,N,1,1,42,2,5.00,2.50,N
281,2019-04-01,11:27:06,3,189,N,1,1,31,2,4.40,2.20,N
290,2019-04-01,14:58:35,3,517,N,1,1,43,1,3.00,3.00,N
296,2019-04-01,14:49:18,3,328,Y,1,1,39,1,4.25,4.25,N
296,2019-04-01,14:49:18,3,328,Y,1,5,79,1,3.75,3.75,N
297,2019-04-01,12:05:26,3,331,N,1,1,48,2,5.00,2.50,N
298,2019-04-01,18:30:05,3,414,N,1,1,55,2,8.00,4.00,N
317,2019-04-01,19:57:08,3,567,N,1,1,48,1,2.50,2.50,N
325,2019-04-01,19:23:13,3,526,N,1,1,22,2,4.00,2.00,N
326,2019-04-01,12:05:31,3,659,N,1,1,52,2,5.00,2.50,N
334,2019-04-01,18:12:37,3,492,N,1,1,25,2,4.40,2.20,N
337,2019-04-01,18:14:17,3,655,Y,1,1,39,2,8.50,4.25,N
344,2019-04-01,17:28:16,3,500,Y,1,1,41,1,4.25,4.25,N
357,2019-04-01,15:34:10,3,530,N,1,1,41,2,8.50,4.25,N
357,2019-04-01,15:34:10,3,530,N,1,5,76,1,3.50,3.50,N
360,2019-04-01,15:30:57,3,114,Y,1,1,38,2,7.50,3.75,N
366,2019-04-01,18:33:47,3,301,N,1,1,51,1,3.00,3.00,N
384,2019-04-01,16:04:18,3,602,Y,1,1,54,2,5.00,2.50,N
385,2019-04-01,11:32:46,3,565,Y,1,1,31,2,4.40,2.20,N
389,2019-04-01,17:00:27,3,335,Y,1,1,29,1,2.50,2.50,N
390,2019-04-01,12:20:37,3,52,Y,1,1,25,1,2.20,2.20,N
391,2019-04-01,18:05:52,3,216,N,1,1,33,2,7.00,3.50,N
391,2019-04-01,18:05:52,3,216,N,1,5,79,1,3.75,3.75,N
396,2019-04-01,14:45:31,3,550,Y,1,1,47,1,3.00,3.00,N
405,2019-04-01,19:31:31,3,481,N,1,1,26,2,6.00,3.00,N
411,2019-04-01,12:23:27,3,516,N,1,1,22,2,4.00,2.00,N
413,2019-04-01,16:03:50,3,508,N,1,1,31,1,2.20,2.20,N
413,2019-04-01,16:03:50,3,508,N,1,5,76,1,3.50,3.50,N
421,2019-04-01,19:52:28,3,717,N,1,1,34,2,4.90,2.45,N
422,2019-04-01,14:14:08,3,641,Y,1,1,26,1,3.00,3.00,N
426,2019-04-01,15:45:16,3,525,N,1,1,46,2,5.00,2.50,N
427,2019-04-01,19:03:00,3,384,Y,1,1,22,1,2.00,2.00,N
429,2019-04-01,12:56:59,3,784,Y,1,1,47,1,3.00,3.00,N
